Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Case 2,Chrome 111.0.0.0,"Tambahkan wishlist 3 hotel dengan kota yang berbeda dari case 1, dengan kriteria yang masih sama dengan case 1.
(Tidak perlu melakukan pemesanan)",,2023-03-22 19:57:48,2023-03-22 20:00:19,2m - 30.550s,FAILED
,,,,,,,
Test Cases/Verify user can 3 Hotels into wishlist,Chrome 111.0.0.0,,,2023-03-22 19:57:49,2023-03-22 20:00:19,2m - 29.779s,FAILED
"callTestCase(findTestCase(""Verify user can login""), [""link"":""https://api.email-tester.project.skyshi.io/wiken3@inbound.skyshi.io/code"", ""email"":""wiken3@inbound.skyshi.io"", ""password"":""wiken123%""], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-22 19:57:50,2023-03-22 19:58:54,1m - 4.125s,PASSED
waitForPageLoad(2),Chrome 111.0.0.0,,,2023-03-22 19:58:54,2023-03-22 19:58:54,0.046s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-22 19:58:54,2023-03-22 19:58:55,0.592s,PASSED
"click(findTestObject(""HomePage/HotelsMenu""))",Chrome 111.0.0.0,,,2023-03-22 19:58:55,2023-03-22 19:58:56,0.814s,PASSED
"waitForElementPresent(findTestObject(""HotelSection/RecentlyViewedHotelsButton""), 2)",Chrome 111.0.0.0,,,2023-03-22 19:58:56,2023-03-22 19:58:57,0.863s,PASSED
"verifyElementText(findTestObject(""HotelSection/RecentlyViewedHotelsButton""), ""Recently Viewed Hotels"")",Chrome 111.0.0.0,,,2023-03-22 19:58:57,2023-03-22 19:58:57,0.784s,PASSED
"setText(findTestObject(""HotelSection/InputDestination""), ""Jakarta"")",Chrome 111.0.0.0,,,2023-03-22 19:58:57,2023-03-22 19:58:59,1.242s,PASSED
"waitForElementPresent(findTestObject(""SearchResultHotels/ResultJakartaCity""), 2)",Chrome 111.0.0.0,,,2023-03-22 19:58:59,2023-03-22 19:59:00,1.662s,PASSED
"click(findTestObject(""SearchResultHotels/ResultJakartaCity""))",Chrome 111.0.0.0,,,2023-03-22 19:59:00,2023-03-22 19:59:01,1.001s,PASSED
"verifyElementAttributeValue(findTestObject(""HotelSection/InputCityHotel""), ""value"", ""Jakarta, Indonesia"", 2)",Chrome 111.0.0.0,,,2023-03-22 19:59:01,2023-03-22 19:59:02,1.126s,PASSED
"click(findTestObject(""HotelSection/SearchHotelsButton""))",Chrome 111.0.0.0,,,2023-03-22 19:59:02,2023-03-22 19:59:06,3.682s,PASSED
waitForPageLoad(5),Chrome 111.0.0.0,,,2023-03-22 19:59:06,2023-03-22 19:59:06,0.224s,PASSED
"verifyElementText(findTestObject(""LoginSuccessfulPopUp/TitleLoginSuccessfulPopUp""), ""Login Successful!"")",Chrome 111.0.0.0,,,2023-03-22 19:59:06,2023-03-22 19:59:14,7.621s,PASSED
"click(findTestObject(""LoginSuccessfulPopUp/OKButton""))",Chrome 111.0.0.0,,,2023-03-22 19:59:14,2023-03-22 19:59:15,0.634s,PASSED
"verifyElementText(findTestObject(""SearchResultHotels/TitleCitySearchResult""), ""Your search results in Jakarta, Indonesia"")",Chrome 111.0.0.0,,,2023-03-22 19:59:15,2023-03-22 19:59:15,0.532s,PASSED
"verifyElementPresent(findTestObject(""SearchResultHotels/HotelCardMuliaSenayanJakarta""), 2)",Chrome 111.0.0.0,,,2023-03-22 19:59:15,2023-03-22 19:59:16,0.658s,PASSED
"click(findTestObject(""SearchResultHotels/HotelCardMuliaSenayanJakarta""))",Chrome 111.0.0.0,,,2023-03-22 19:59:16,2023-03-22 19:59:17,0.910s,PASSED
waitForPageLoad(5),Chrome 111.0.0.0,,,2023-03-22 19:59:17,2023-03-22 19:59:17,0.042s,PASSED
switchToWindowIndex(1),Chrome 111.0.0.0,,,2023-03-22 19:59:17,2023-03-22 19:59:17,0.174s,PASSED
