Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Case 1,Chrome 111.0.0.0,"Cari hotel di website traveloka kriteria : Kota Palembang check in 1 hari , jumlah tamu 1 orang dewasa 1 kamar, lakukan filter hasil tampilan hotel berdasarkan harga terendah dan memiliki fasilitas wifi, dengan kisaran harga 500,000 - 800,000. Kemudian pilih salah satu hotel (bebas) dan lakukan simpan (wishlist) hotel tersebut. Lakukan pemesanan hotel dari fitur simpan (wishlist).

Test Case 1 - Positive - Verify user can add Hotel in Palembang into wishlist
Test Case 2 - Negative - Verify guest user get login pop-up when bookmark hotel",,2023-03-22 19:09:16,2023-03-22 19:13:14,3m - 57.948s,PASSED
,,,,,,,
Test Cases/Verify user can add Hotel in Palembang into wishlist,Chrome 111.0.0.0,Positve Test,,2023-03-22 19:09:17,2023-03-22 19:12:05,2m - 47.433s,PASSED
"callTestCase(findTestCase(""Verify user can login""), [""link"":""https://api.email-tester.project.skyshi.io/wiken3@inbound.skyshi.io/code"", ""email"":""wiken3@inbound.skyshi.io"", ""password"":""wiken123%""], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-22 19:09:18,2023-03-22 19:10:36,1m - 17.273s,PASSED
waitForPageLoad(2),Chrome 111.0.0.0,,,2023-03-22 19:10:36,2023-03-22 19:10:36,0.122s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-03-22 19:10:36,2023-03-22 19:10:37,0.903s,PASSED
"click(findTestObject(""HomePage/HotelsMenu""))",Chrome 111.0.0.0,,,2023-03-22 19:10:37,2023-03-22 19:10:38,1.323s,PASSED
"waitForElementPresent(findTestObject(""HotelSection/RecentlyViewedHotelsButton""), 2)",Chrome 111.0.0.0,,,2023-03-22 19:10:38,2023-03-22 19:10:39,1.035s,PASSED
"verifyElementText(findTestObject(""HotelSection/RecentlyViewedHotelsButton""), ""Recently Viewed Hotels"")",Chrome 111.0.0.0,,,2023-03-22 19:10:39,2023-03-22 19:10:40,0.696s,PASSED
"setText(findTestObject(""HotelSection/InputDestination""), ""Palembang"")",Chrome 111.0.0.0,,,2023-03-22 19:10:40,2023-03-22 19:10:42,1.819s,PASSED
"waitForElementPresent(findTestObject(""HotelSection/ResultPalembangCity""), 2)",Chrome 111.0.0.0,,,2023-03-22 19:10:42,2023-03-22 19:10:43,1.495s,PASSED
"click(findTestObject(""HotelSection/ResultPalembangCity""))",Chrome 111.0.0.0,,,2023-03-22 19:10:43,2023-03-22 19:10:44,0.874s,PASSED
"verifyElementAttributeValue(findTestObject(""HotelSection/InputCityHotel""), ""value"", ""Palembang, South Sumatra, Indonesia"", 2)",Chrome 111.0.0.0,,,2023-03-22 19:10:44,2023-03-22 19:10:45,1.412s,PASSED
"click(findTestObject(""HotelSection/SearchHotelsButton""))",Chrome 111.0.0.0,,,2023-03-22 19:10:45,2023-03-22 19:10:49,3.221s,PASSED
waitForPageLoad(5),Chrome 111.0.0.0,,,2023-03-22 19:10:49,2023-03-22 19:10:49,0.171s,PASSED
"verifyElementText(findTestObject(""LoginSuccessfulPopUp/TitleLoginSuccessfulPopUp""), ""Login Successful!"")",Chrome 111.0.0.0,,,2023-03-22 19:10:49,2023-03-22 19:10:56,6.845s,PASSED
"click(findTestObject(""LoginSuccessfulPopUp/OKButton""))",Chrome 111.0.0.0,,,2023-03-22 19:10:56,2023-03-22 19:10:58,2.116s,PASSED
"verifyElementText(findTestObject(""SearchResultHotels/TitleCitySearchResult""), ""Your search results in Palembang, Indonesia"")",Chrome 111.0.0.0,,,2023-03-22 19:10:58,2023-03-22 19:10:59,0.831s,PASSED
"click(findTestObject(""SearchResultHotels/LowestPriceRadioButton""))",Chrome 111.0.0.0,,,2023-03-22 19:10:59,2023-03-22 19:11:01,2.834s,PASSED
delay(3),Chrome 111.0.0.0,,,2023-03-22 19:11:01,2023-03-22 19:11:04,3.020s,PASSED
"setText(findTestObject(""SearchResultHotels/InputMinPrice""), ""500000"")",Chrome 111.0.0.0,,,2023-03-22 19:11:04,2023-03-22 19:11:12,7.330s,PASSED
delay(3),Chrome 111.0.0.0,,,2023-03-22 19:11:12,2023-03-22 19:11:15,3.017s,PASSED
